,track_id,AudioFeatures
0,4rXLjWdF2ZZpXCVTfWcshS,"[{'danceability': 0.847, 'energy': 0.622, 'key': 1, 'loudness': -6.747, 'mode': 0, 'speechiness': 0.0903, 'acousticness': 0.119, 'instrumentalness': 0, 'liveness': 0.285, 'valence': 0.22, 'tempo': 130.001, 'type': 'audio_features', 'id': '4rXLjWdF2ZZpXCVTfWcshS', 'uri': 'spotify:track:4rXLjWdF2ZZpXCVTfWcshS', 'track_href': 'https://api.spotify.com/v1/tracks/4rXLjWdF2ZZpXCVTfWcshS', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4rXLjWdF2ZZpXCVTfWcshS', 'duration_ms': 125040, 'time_signature': 4}]"
1,3k79jB4aGmMDUQzEwa46Rz,"[{'danceability': 0.511, 'energy': 0.532, 'key': 5, 'loudness': -5.745, 'mode': 1, 'speechiness': 0.056, 'acousticness': 0.169, 'instrumentalness': 0, 'liveness': 0.311, 'valence': 0.322, 'tempo': 137.827, 'type': 'audio_features', 'id': '3k79jB4aGmMDUQzEwa46Rz', 'uri': 'spotify:track:3k79jB4aGmMDUQzEwa46Rz', 'track_href': 'https://api.spotify.com/v1/tracks/3k79jB4aGmMDUQzEwa46Rz', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3k79jB4aGmMDUQzEwa46Rz', 'duration_ms': 219724, 'time_signature': 4}]"
2,1Lo0QY9cvc8sUB2vnIOxDT,"[{'danceability': 0.712, 'energy': 0.603, 'key': 8, 'loudness': -5.52, 'mode': 1, 'speechiness': 0.0262, 'acousticness': 0.186, 'instrumentalness': 0, 'liveness': 0.115, 'valence': 0.67, 'tempo': 97.994, 'type': 'audio_features', 'id': '1Lo0QY9cvc8sUB2vnIOxDT', 'uri': 'spotify:track:1Lo0QY9cvc8sUB2vnIOxDT', 'track_href': 'https://api.spotify.com/v1/tracks/1Lo0QY9cvc8sUB2vnIOxDT', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1Lo0QY9cvc8sUB2vnIOxDT', 'duration_ms': 265493, 'time_signature': 4}]"
3,6wf7Yu7cxBSPrRlWeSeK0Q,"[{'danceability': 0.444, 'energy': 0.0911, 'key': 0, 'loudness': -17.665, 'mode': 1, 'speechiness': 0.0307, 'acousticness': 0.959, 'instrumentalness': 1.05e-06, 'liveness': 0.098, 'valence': 0.142, 'tempo': 78.403, 'type': 'audio_features', 'id': '6wf7Yu7cxBSPrRlWeSeK0Q', 'uri': 'spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q', 'track_href': 'https://api.spotify.com/v1/tracks/6wf7Yu7cxBSPrRlWeSeK0Q', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6wf7Yu7cxBSPrRlWeSeK0Q', 'duration_ms': 222370, 'time_signature': 4}]"
4,741UUVE2kuITl0c6zuqqbO,"[{'danceability': 0.77, 'energy': 0.58, 'key': 0, 'loudness': -8.393, 'mode': 1, 'speechiness': 0.247, 'acousticness': 0.519, 'instrumentalness': 0.000127, 'liveness': 0.233, 'valence': 0.753, 'tempo': 144.072, 'type': 'audio_features', 'id': '741UUVE2kuITl0c6zuqqbO', 'uri': 'spotify:track:741UUVE2kuITl0c6zuqqbO', 'track_href': 'https://api.spotify.com/v1/tracks/741UUVE2kuITl0c6zuqqbO', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/741UUVE2kuITl0c6zuqqbO', 'duration_ms': 109750, 'time_signature': 4}]"
5,67nepsnrcZkowTxMWigSbb,"[{'danceability': 0.557, 'energy': 0.774, 'key': 7, 'loudness': -5.275, 'mode': 0, 'speechiness': 0.351, 'acousticness': 0.012, 'instrumentalness': 0, 'liveness': 0.396, 'valence': 0.397, 'tempo': 111.975, 'type': 'audio_features', 'id': '67nepsnrcZkowTxMWigSbb', 'uri': 'spotify:track:67nepsnrcZkowTxMWigSbb', 'track_href': 'https://api.spotify.com/v1/tracks/67nepsnrcZkowTxMWigSbb', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/67nepsnrcZkowTxMWigSbb', 'duration_ms': 246134, 'time_signature': 4}]"
6,59uQI0PADDKeE6UZDTJEe8,"[{'danceability': 0.517, 'energy': 0.675, 'key': 6, 'loudness': -5.382, 'mode': 1, 'speechiness': 0.0357, 'acousticness': 0.459, 'instrumentalness': 0, 'liveness': 0.151, 'valence': 0.518, 'tempo': 203.853, 'type': 'audio_features', 'id': '59uQI0PADDKeE6UZDTJEe8', 'uri': 'spotify:track:59uQI0PADDKeE6UZDTJEe8', 'track_href': 'https://api.spotify.com/v1/tracks/59uQI0PADDKeE6UZDTJEe8', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/59uQI0PADDKeE6UZDTJEe8', 'duration_ms': 163855, 'time_signature': 4}]"
7,7x9aauaA9cu6tyfpHnqDLo,"[{'danceability': 0.802, 'energy': 0.832, 'key': 11, 'loudness': -4.107, 'mode': 1, 'speechiness': 0.0434, 'acousticness': 0.311, 'instrumentalness': 0, 'liveness': 0.0815, 'valence': 0.89, 'tempo': 124.997, 'type': 'audio_features', 'id': '7x9aauaA9cu6tyfpHnqDLo', 'uri': 'spotify:track:7x9aauaA9cu6tyfpHnqDLo', 'track_href': 'https://api.spotify.com/v1/tracks/7x9aauaA9cu6tyfpHnqDLo', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7x9aauaA9cu6tyfpHnqDLo', 'duration_ms': 185427, 'time_signature': 4}]"
8,1vYXt7VSjH9JIM5oRRo7vA,"[{'danceability': 0.671, 'energy': 0.845, 'key': 11, 'loudness': -4.93, 'mode': 0, 'speechiness': 0.048, 'acousticness': 0.0207, 'instrumentalness': 0, 'liveness': 0.329, 'valence': 0.775, 'tempo': 110.056, 'type': 'audio_features', 'id': '1vYXt7VSjH9JIM5oRRo7vA', 'uri': 'spotify:track:1vYXt7VSjH9JIM5oRRo7vA', 'track_href': 'https://api.spotify.com/v1/tracks/1vYXt7VSjH9JIM5oRRo7vA', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1vYXt7VSjH9JIM5oRRo7vA', 'duration_ms': 176579, 'time_signature': 4}]"
9,7K3BhSpAxZBznislvUMVtn,"[{'danceability': 0.492, 'energy': 0.675, 'key': 6, 'loudness': -5.456, 'mode': 1, 'speechiness': 0.0389, 'acousticness': 0.467, 'instrumentalness': 0, 'liveness': 0.142, 'valence': 0.478, 'tempo': 203.759, 'type': 'audio_features', 'id': '7K3BhSpAxZBznislvUMVtn', 'uri': 'spotify:track:7K3BhSpAxZBznislvUMVtn', 'track_href': 'https://api.spotify.com/v1/tracks/7K3BhSpAxZBznislvUMVtn', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7K3BhSpAxZBznislvUMVtn', 'duration_ms': 163855, 'time_signature': 4}]"
10,6pD0ufEQq0xdHSsRbg9LBK,"[{'danceability': 0.569, 'energy': 0.724, 'key': 6, 'loudness': -4.076, 'mode': 0, 'speechiness': 0.0474, 'acousticness': 0.228, 'instrumentalness': 0, 'liveness': 0.27, 'valence': 0.562, 'tempo': 83.118, 'type': 'audio_features', 'id': '6pD0ufEQq0xdHSsRbg9LBK', 'uri': 'spotify:track:6pD0ufEQq0xdHSsRbg9LBK', 'track_href': 'https://api.spotify.com/v1/tracks/6pD0ufEQq0xdHSsRbg9LBK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6pD0ufEQq0xdHSsRbg9LBK', 'duration_ms': 194563, 'time_signature': 4}]"
11,42VsgItocQwOQC3XWZ8JNA,"[{'danceability': 0.569, 'energy': 0.882, 'key': 3, 'loudness': -2.777, 'mode': 0, 'speechiness': 0.06, 'acousticness': 0.0316, 'instrumentalness': 0, 'liveness': 0.142, 'valence': 0.201, 'tempo': 148.038, 'type': 'audio_features', 'id': '42VsgItocQwOQC3XWZ8JNA', 'uri': 'spotify:track:42VsgItocQwOQC3XWZ8JNA', 'track_href': 'https://api.spotify.com/v1/tracks/42VsgItocQwOQC3XWZ8JNA', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/42VsgItocQwOQC3XWZ8JNA', 'duration_ms': 191701, 'time_signature': 4}]"
12,6AQbmUe0Qwf5PZnt4HmTXv,"[{'danceability': 0.696, 'energy': 0.809, 'key': 5, 'loudness': -8.254, 'mode': 1, 'speechiness': 0.05, 'acousticness': 0.252, 'instrumentalness': 0.000128, 'liveness': 0.248, 'valence': 0.857, 'tempo': 132.962, 'type': 'audio_features', 'id': '6AQbmUe0Qwf5PZnt4HmTXv', 'uri': 'spotify:track:6AQbmUe0Qwf5PZnt4HmTXv', 'track_href': 'https://api.spotify.com/v1/tracks/6AQbmUe0Qwf5PZnt4HmTXv', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6AQbmUe0Qwf5PZnt4HmTXv', 'duration_ms': 131013, 'time_signature': 4}]"
13,3dnP0JxCgygwQH9Gm7q7nb,"[{'danceability': 0.668, 'energy': 0.758, 'key': 5, 'loudness': -5.176, 'mode': 0, 'speechiness': 0.0332, 'acousticness': 0.483, 'instrumentalness': 1.89e-05, 'liveness': 0.0837, 'valence': 0.834, 'tempo': 147.989, 'type': 'audio_features', 'id': '3dnP0JxCgygwQH9Gm7q7nb', 'uri': 'spotify:track:3dnP0JxCgygwQH9Gm7q7nb', 'track_href': 'https://api.spotify.com/v1/tracks/3dnP0JxCgygwQH9Gm7q7nb', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3dnP0JxCgygwQH9Gm7q7nb', 'duration_ms': 165671, 'time_signature': 3}]"
14,5kHMfzgLZP95O9NBy0ku4v,"[{'danceability': 0.694, 'energy': 0.764, 'key': 6, 'loudness': -4.893, 'mode': 1, 'speechiness': 0.0337, 'acousticness': 0.0586, 'instrumentalness': 0, 'liveness': 0.0608, 'valence': 0.819, 'tempo': 123.044, 'type': 'audio_features', 'id': '5kHMfzgLZP95O9NBy0ku4v', 'uri': 'spotify:track:5kHMfzgLZP95O9NBy0ku4v', 'track_href': 'https://api.spotify.com/v1/tracks/5kHMfzgLZP95O9NBy0ku4v', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5kHMfzgLZP95O9NBy0ku4v', 'duration_ms': 273186, 'time_signature': 4}]"
15,2UW7JaomAMuX9pZrjVpHAU,"[{'danceability': 0.812, 'energy': 0.479, 'key': 2, 'loudness': -5.678, 'mode': 0, 'speechiness': 0.333, 'acousticness': 0.213, 'instrumentalness': 1.21e-06, 'liveness': 0.0756, 'valence': 0.559, 'tempo': 169.922, 'type': 'audio_features', 'id': '2UW7JaomAMuX9pZrjVpHAU', 'uri': 'spotify:track:2UW7JaomAMuX9pZrjVpHAU', 'track_href': 'https://api.spotify.com/v1/tracks/2UW7JaomAMuX9pZrjVpHAU', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2UW7JaomAMuX9pZrjVpHAU', 'duration_ms': 234353, 'time_signature': 4}]"
