,count,mean,std,min,25%,50%,75%,max
popularity,1000.0,67.428,27.019342346934753,0.0,70.0,76.0,82.0,100.0
danceability,1000.0,0.65881,0.15014486798216384,0.143,0.552,0.6725000000000001,0.777,0.971
energy,1000.0,0.6512357160000001,0.1716379861152568,0.000116,0.551,0.669,0.78225,0.991
key,1000.0,5.145,3.603742771336767,0.0,2.0,5.0,8.0,11.0
loudness,1000.0,-6.210125,2.6859361042532504,-37.894,-7.47425,-5.6885,-4.4887500000000005,1.002
speechiness,1000.0,0.1021597,0.09974887680738241,0.0238,0.0381,0.0556,0.132,0.798
acousticness,1000.0,0.2265191005,0.24335686144567087,1.86e-05,0.0354,0.123,0.35275,0.985
instrumentalness,1000.0,0.028892844140000002,0.13527564518223364,0.0,0.0,0.0,0.000104,0.973
liveness,1000.0,0.17713130000000002,0.1229400809899841,0.0257,0.101,0.126,0.212,0.948
valence,1000.0,0.4896142,0.23256847088978347,0.0,0.3015,0.484,0.67125,0.971
tempo,1000.0,123.690054,28.238112137857133,56.829,99.3065,124.462,143.8685,208.138
duration_ms,1000.0,191876.534,46962.45684443809,36227.0,163012.75,188514.5,215199.0,500117.0
time_signature,1000.0,3.902,0.3557000457162195,1.0,4.0,4.0,4.0,5.0
