,artist_name,track_name,track_id,popularity
0,Gunna,fukumean,4rXLjWdF2ZZpXCVTfWcshS,96
1,Olivia Rodrigo,vampire,3k79jB4aGmMDUQzEwa46Rz,98
2,Travis Scott,MELTDOWN (feat. Drake),67nepsnrcZkowTxMWigSbb,94
3,Luke Combs,Fast Car,1Lo0QY9cvc8sUB2vnIOxDT,91
4,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",6wf7Yu7cxBSPrRlWeSeK0Q,98
5,Nicki Minaj,Barbie World (with Aqua) [From Barbie The Album],741UUVE2kuITl0c6zuqqbO,95
6,Morgan Wallen,Last Night,59uQI0PADDKeE6UZDTJEe8,89
7,Jung Kook,Seven (feat. Latto) (Explicit Ver.),7x9aauaA9cu6tyfpHnqDLo,100
8,Dua Lipa,Dance The Night (From Barbie The Album),1vYXt7VSjH9JIM5oRRo7vA,97
9,Travis Scott,FE!N (feat. Playboi Carti),42VsgItocQwOQC3XWZ8JNA,94
10,Morgan Wallen,Last Night,7K3BhSpAxZBznislvUMVtn,88
11,Travis Scott,I KNOW ?,6wsqVwoiVH2kde4k4KKAFU,92
12,PinkPantheress,Boy's a Liar Pt. 2,6AQbmUe0Qwf5PZnt4HmTXv,92
13,Taylor Swift,I Can See You (Taylor’s Version) (From The Vault),5kHMfzgLZP95O9NBy0ku4v,92
14,Yng Lvcas,La Bebe - Remix,2UW7JaomAMuX9pZrjVpHAU,96
15,Grupo Frontera,un x100to,6pD0ufEQq0xdHSsRbg9LBK,95
16,Eslabon Armado,Ella Baila Sola,3dnP0JxCgygwQH9Gm7q7nb,94
17,Bad Bunny,WHERE SHE GOES,7ro0hRteUMfnOioTFI5TG1,97
18,Morgan Wallen,Thinkin’ Bout Me,0PAcdVzhPO4gq1Iym9ESnK,86
19,Morgan Wallen,You Proof,5W4kiM2cUYBJXKRudNyxjW,86
20,NewJeans,Super Shy,5sdQOyqq2IDhvmx2lHOpwd,95
21,Travis Scott,TELEKINESIS (feat. SZA & Future),1i9lZvlaDdWDPyXEE95aiq,91
22,Jimin,Like Crazy,3Ua0m0YmEjrMi9XErKcNiR,95
23,FIFTY FIFTY,Cupid - Twin Ver.,7FbrGaHYVDmfr7KoLIZnQ7,95
24,Drake,Search & Rescue,7aRCf5cLOFN1U7kvtChY1G,88
